year,state_name,commodity,yield_per_acre,yield_risk,weather_risk,drought_risk,economic_risk,SRI,risk_category,recommendation,avg_temp,total_precip,avg_dsci
2025,SOUTH DAKOTA,WHEAT,47.0,68.09654110556205,4.0,0.0,35.0,30.083789386946716,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH DAKOTA,WHEAT,47.0,68.09654110556205,4.0,0.0,35.0,30.083789386946716,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH CAROLINA,CORN,150.0,67.83757933387788,4.0,0.0,35.0,29.993152766857257,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH CAROLINA,CORN,150.0,67.83757933387788,4.0,0.0,35.0,29.993152766857257,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH CAROLINA,CORN,150.0,67.83757933387788,4.0,0.0,35.0,29.993152766857257,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,KANSAS,SOYBEANS,39.0,67.81278149053335,4.0,0.0,35.0,29.984473521686674,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,KANSAS,SOYBEANS,39.0,67.81278149053335,4.0,0.0,35.0,29.984473521686674,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH CAROLINA,SOYBEANS,39.0,67.81278149053335,4.0,0.0,35.0,29.984473521686674,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,ALABAMA,SOYBEANS,39.0,67.81278149053335,4.0,0.0,35.0,29.984473521686674,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH CAROLINA,SOYBEANS,39.0,67.81278149053335,4.0,0.0,35.0,29.984473521686674,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH DAKOTA,WHEAT,48.0,67.17716492218196,4.0,0.0,35.0,29.762007722763684,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NEW YORK,CORN,152.0,66.44530499224915,4.0,0.0,35.0,29.5058567472872,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NEW YORK,CORN,152.0,66.44530499224915,4.0,0.0,35.0,29.5058567472872,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,WHEAT,49.0,66.25778873880188,4.0,0.0,35.0,29.440226058580656,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH DAKOTA,WHEAT,49.0,66.25778873880188,4.0,0.0,35.0,29.440226058580656,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,KENTUCKY,SOYBEANS,40.0,65.8079794340309,4.0,0.0,35.0,29.282792801910812,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH CAROLINA,SOYBEANS,40.0,65.8079794340309,4.0,0.0,35.0,29.282792801910812,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,KENTUCKY,SOYBEANS,40.0,65.8079794340309,4.0,0.0,35.0,29.282792801910812,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH DAKOTA,WHEAT,50.0,65.33841255542178,4.0,0.0,35.0,29.118444394397624,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,KANSAS,WHEAT,50.0,65.33841255542178,4.0,0.0,35.0,29.118444394397624,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,KANSAS,WHEAT,50.0,65.33841255542178,4.0,0.0,35.0,29.118444394397624,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH DAKOTA,WHEAT,50.5,64.87872446373173,4.0,0.0,35.0,28.957553562306103,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,KANSAS,WHEAT,51.0,64.41903637204169,4.0,0.0,35.0,28.79666273021459,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH DAKOTA,WHEAT,51.0,64.41903637204169,4.0,0.0,35.0,28.79666273021459,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,KANSAS,WHEAT,51.0,64.41903637204169,4.0,0.0,35.0,28.79666273021459,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,UTAH,WHEAT,51.0,64.41903637204169,4.0,0.0,35.0,28.79666273021459,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,KANSAS,WHEAT,51.0,64.41903637204169,4.0,0.0,35.0,28.79666273021459,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,UTAH,WHEAT,51.0,64.41903637204169,4.0,0.0,35.0,28.79666273021459,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,KANSAS,WHEAT,51.0,64.41903637204169,4.0,0.0,35.0,28.79666273021459,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,ALABAMA,CORN,157.0,62.9646191381773,4.0,0.0,35.0,28.287616698362054,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,PENNSYLVANIA,CORN,157.0,62.9646191381773,4.0,0.0,35.0,28.287616698362054,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,PENNSYLVANIA,CORN,157.0,62.9646191381773,4.0,0.0,35.0,28.287616698362054,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,WHEAT,52.8,62.76415924195752,4.0,0.0,35.0,28.21745573468513,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NEW YORK,CORN,158.0,62.26848196736293,4.0,0.0,35.0,28.043968688577024,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NEW JERSEY,SOYBEANS,42.0,61.79837532102597,4.0,0.0,35.0,27.87943136235909,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,WHEAT,55.0,60.741531638521316,4.0,0.0,35.0,27.509536073482458,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,WHEAT,55.0,60.741531638521316,4.0,0.0,35.0,27.509536073482458,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NEW JERSEY,SOYBEANS,43.0,59.793573264523516,4.0,0.0,35.0,27.17775064258323,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NEW JERSEY,SOYBEANS,43.0,59.793573264523516,4.0,0.0,35.0,27.17775064258323,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,TENNESSEE,SOYBEANS,43.0,59.793573264523516,4.0,0.0,35.0,27.17775064258323,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,TENNESSEE,SOYBEANS,43.0,59.793573264523516,4.0,0.0,35.0,27.17775064258323,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,ARKANSAS,WHEAT,57.0,58.90277927176113,4.0,0.0,35.0,26.865972745116395,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,ARKANSAS,WHEAT,57.0,58.90277927176113,4.0,0.0,35.0,26.865972745116395,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,PENNSYLVANIA,CORN,164.0,58.09165894247671,4.0,0.0,35.0,26.582080629866848,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,ARKANSAS,WHEAT,58.0,57.98340308838104,4.0,0.0,35.0,26.544191080933363,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,DELAWARE,SOYBEANS,44.0,57.78877120802105,4.0,0.0,35.0,26.47606992280737,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,VIRGINIA,SOYBEANS,44.0,57.78877120802105,4.0,0.0,35.0,26.47606992280737,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,VIRGINIA,SOYBEANS,44.0,57.78877120802105,4.0,0.0,35.0,26.47606992280737,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,DELAWARE,SOYBEANS,44.0,57.78877120802105,4.0,0.0,35.0,26.47606992280737,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH CAROLINA,WHEAT,59.0,57.064026905000944,4.0,0.0,35.0,26.222409416750327,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,WHEAT,59.0,57.064026905000944,4.0,0.0,35.0,26.222409416750327,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,ALABAMA,CORN,166.0,56.69938460084797,4.0,0.0,35.0,26.094784610296788,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,ALABAMA,CORN,166.0,56.69938460084797,4.0,0.0,35.0,26.094784610296788,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,MISSISSIPPI,WHEAT,60.0,56.144650721620856,4.0,0.0,35.0,25.9006277525673,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH CAROLINA,WHEAT,60.0,56.144650721620856,4.0,0.0,35.0,25.9006277525673,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH CAROLINA,WHEAT,60.0,56.144650721620856,4.0,0.0,35.0,25.9006277525673,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,MISSISSIPPI,WHEAT,60.0,56.144650721620856,4.0,0.0,35.0,25.9006277525673,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH CAROLINA,WHEAT,60.0,56.144650721620856,4.0,0.0,35.0,25.9006277525673,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH CAROLINA,WHEAT,60.0,56.144650721620856,4.0,0.0,35.0,25.9006277525673,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH DAKOTA,CORN,167.0,56.003247430033596,4.0,0.0,35.0,25.851136600511758,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH DAKOTA,CORN,167.0,56.003247430033596,4.0,0.0,35.0,25.851136600511758,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,MARYLAND,SOYBEANS,45.0,55.78396915151859,4.0,0.0,35.0,25.774389203031504,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,PENNSYLVANIA,SOYBEANS,45.0,55.78396915151859,4.0,0.0,35.0,25.774389203031504,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,MARYLAND,SOYBEANS,45.0,55.78396915151859,4.0,0.0,35.0,25.774389203031504,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,PENNSYLVANIA,SOYBEANS,45.0,55.78396915151859,4.0,0.0,35.0,25.774389203031504,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH DAKOTA,CORN,168.0,55.30711025921923,4.0,0.0,35.0,25.607488590726728,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,ARKANSAS,WHEAT,61.0,55.22527453824076,4.0,0.0,35.0,25.578846088384264,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,ARKANSAS,WHEAT,62.0,54.30589835486067,4.0,0.0,35.0,25.257064424201236,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,ARKANSAS,WHEAT,62.0,54.30589835486067,4.0,0.0,35.0,25.257064424201236,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,MARYLAND,CORN,170.0,53.91483591759049,4.0,0.0,35.0,25.120192571156668,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,MARYLAND,CORN,170.0,53.91483591759049,4.0,0.0,35.0,25.120192571156668,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,WASHINGTON,WHEAT,62.6,53.75427264483261,4.0,0.0,35.0,25.063995425691413,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH CAROLINA,WHEAT,63.0,53.38652217148058,4.0,0.0,35.0,24.9352827600182,Low,Normal inventory,,,0.0
2025,VIRGINIA,CORN,173.0,51.82642440514738,4.0,0.0,35.0,24.38924854180158,Low,Normal inventory,,,0.0
2025,MARYLAND,CORN,173.0,51.82642440514738,4.0,0.0,35.0,24.38924854180158,Low,Normal inventory,,,0.0
2025,VIRGINIA,CORN,173.0,51.82642440514738,4.0,0.0,35.0,24.38924854180158,Low,Normal inventory,,,0.0
2025,VIRGINIA,CORN,173.0,51.82642440514738,4.0,0.0,35.0,24.38924854180158,Low,Normal inventory,,,0.0
2025,SOUTH DAKOTA,SOYBEANS,47.0,51.77436503851367,4.0,0.0,35.0,24.371027763479784,Low,Normal inventory,,,0.0
2025,SOUTH DAKOTA,SOYBEANS,47.0,51.77436503851367,4.0,0.0,35.0,24.371027763479784,Low,Normal inventory,,,0.0
2025,PENNSYLVANIA,SOYBEANS,47.0,51.77436503851367,4.0,0.0,35.0,24.371027763479784,Low,Normal inventory,,,0.0
2025,NEW YORK,SOYBEANS,47.0,51.77436503851367,4.0,0.0,35.0,24.371027763479784,Low,Normal inventory,,,0.0
2025,NEW YORK,SOYBEANS,47.0,51.77436503851367,4.0,0.0,35.0,24.371027763479784,Low,Normal inventory,,,0.0
2025,SOUTH DAKOTA,SOYBEANS,47.0,51.77436503851367,4.0,0.0,35.0,24.371027763479784,Low,Normal inventory,,,0.0
2025,VIRGINIA,WHEAT,65.0,51.547769804720396,4.0,0.0,35.0,24.291719431652137,Low,Normal inventory,,,0.0
2025,NORTH CAROLINA,WHEAT,65.0,51.547769804720396,4.0,0.0,35.0,24.291719431652137,Low,Normal inventory,,,0.0
2025,VIRGINIA,WHEAT,66.0,50.6283936213403,4.0,0.0,35.0,23.969937767469105,Low,Normal inventory,,,0.0
2025,VIRGINIA,WHEAT,66.0,50.6283936213403,4.0,0.0,35.0,23.969937767469105,Low,Normal inventory,,,0.0
2025,WASHINGTON,WHEAT,66.0,50.6283936213403,4.0,0.0,35.0,23.969937767469105,Low,Normal inventory,,,0.0
2025,GEORGIA,WHEAT,66.0,50.6283936213403,4.0,0.0,35.0,23.969937767469105,Low,Normal inventory,,,0.0
2025,GEORGIA,WHEAT,66.0,50.6283936213403,4.0,0.0,35.0,23.969937767469105,Low,Normal inventory,,,0.0
2025,KENTUCKY,CORN,175.0,50.43415006351864,4.0,0.0,35.0,23.901952522231525,Low,Normal inventory,,,0.0
2025,TENNESSEE,CORN,175.0,50.43415006351864,4.0,0.0,35.0,23.901952522231525,Low,Normal inventory,,,0.0
2025,TENNESSEE,CORN,175.0,50.43415006351864,4.0,0.0,35.0,23.901952522231525,Low,Normal inventory,,,0.0
2025,KENTUCKY,CORN,175.0,50.43415006351864,4.0,0.0,35.0,23.901952522231525,Low,Normal inventory,,,0.0
2025,VIRGINIA,SOYBEANS,48.0,49.76956298201121,4.0,0.0,35.0,23.669347043703922,Low,Normal inventory,,,0.0
2025,VIRGINIA,WHEAT,67.0,49.70901743796021,4.0,0.0,35.0,23.648156103286073,Low,Normal inventory,,,0.0
2025,VIRGINIA,WHEAT,67.0,49.70901743796021,4.0,0.0,35.0,23.648156103286073,Low,Normal inventory,,,0.0
2025,NORTH CAROLINA,WHEAT,67.0,49.70901743796021,4.0,0.0,35.0,23.648156103286073,Low,Normal inventory,,,0.0
2025,WASHINGTON,WHEAT,68.0,48.78964125458012,4.0,0.0,35.0,23.32637443910304,Low,Normal inventory,,,0.0
